num,KOHEZIJSKA / STATISTIČNA REGIJA,SPOL,LETO,MERITVE
813100,SLOVENIJA,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
824839,SLOVENIJA,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
853999,SLOVENIJA,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
879257,SLOVENIJA,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
858171,SLOVENIJA,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
835039,SLOVENIJA,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
823967,SLOVENIJA,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
810001,SLOVENIJA,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
793597,SLOVENIJA,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
797792,SLOVENIJA,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
804637,SLOVENIJA,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
817209,SLOVENIJA,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
845454,SLOVENIJA,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
872772,SLOVENIJA,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
894229,SLOVENIJA,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
888918,SLOVENIJA,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
468229,SLOVENIJA,Moški,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
457728,SLOVENIJA,Moški,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
447268,SLOVENIJA,Moški,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
435997,SLOVENIJA,Moški,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
441486,SLOVENIJA,Moški,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
443641,SLOVENIJA,Moški,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
446863,SLOVENIJA,Moški,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
463451,SLOVENIJA,Moški,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
478148,SLOVENIJA,Moški,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
492475,SLOVENIJA,Moški,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
488437,SLOVENIJA,Moški,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Ženske,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Ženske,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Ženske,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Ženske,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",SLOVENIJA,Ženske,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
366810,SLOVENIJA,Ženske,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
366238,SLOVENIJA,Ženske,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
362733,SLOVENIJA,Ženske,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
357600,SLOVENIJA,Ženske,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
356306,SLOVENIJA,Ženske,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
360996,SLOVENIJA,Ženske,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
370346,SLOVENIJA,Ženske,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
382003,SLOVENIJA,Ženske,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
394624,SLOVENIJA,Ženske,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
401754,SLOVENIJA,Ženske,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
400481,SLOVENIJA,Ženske,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
426550,Vzhodna Slovenija,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
432752,Vzhodna Slovenija,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
449508,Vzhodna Slovenija,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
462949,Vzhodna Slovenija,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
447274,Vzhodna Slovenija,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
431530,Vzhodna Slovenija,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
426943,Vzhodna Slovenija,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
418163,Vzhodna Slovenija,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
409547,Vzhodna Slovenija,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
