num,OBČINE,LETO,KAZALNIK
100,SLOVENIJA,2000,Indeks delovne migracije
100,SLOVENIJA,2000,Indeks delovne migracije za moške
100,SLOVENIJA,2000,Indeks delovne migracije za ženske
38.8921531413953,SLOVENIJA,2000,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
39.7507305146401,SLOVENIJA,2000,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
37.8639112586452,SLOVENIJA,2000,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj občine prebivališča"
59.4374450782294,SLOVENIJA,2000,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v občini prebivališča"
57.8,SLOVENIJA,2000,"Delovno aktivni moški [brez kmetov], ki delajo v občini prebivališča"
61.4,SLOVENIJA,2000,"Delovno aktivne ženske [brez kmetic], ki delajo v občini prebivališča"
100,SLOVENIJA,2001,Indeks delovne migracije
100,SLOVENIJA,2001,Indeks delovne migracije za moške
100,SLOVENIJA,2001,Indeks delovne migracije za ženske
39.8203188678168,SLOVENIJA,2001,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
40.6519069573004,SLOVENIJA,2001,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
38.8184796760763,SLOVENIJA,2001,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj občine prebivališča"
58.7172085827463,SLOVENIJA,2001,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v občini prebivališča"
57.3,SLOVENIJA,2001,"Delovno aktivni moški [brez kmetov], ki delajo v občini prebivališča"
60.5,SLOVENIJA,2001,"Delovno aktivne ženske [brez kmetic], ki delajo v občini prebivališča"
100,SLOVENIJA,2002,Indeks delovne migracije
100,SLOVENIJA,2002,Indeks delovne migracije za moške
100,SLOVENIJA,2002,Indeks delovne migracije za ženske
41.012661843231,SLOVENIJA,2002,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
41.821511143117,SLOVENIJA,2002,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
40.0318278309678,SLOVENIJA,2002,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj občine prebivališča"
58.0628535300097,SLOVENIJA,2002,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v občini prebivališča"
56.9,SLOVENIJA,2002,"Delovno aktivni moški [brez kmetov], ki delajo v občini prebivališča"
59.4,SLOVENIJA,2002,"Delovno aktivne ženske [brez kmetic], ki delajo v občini prebivališča"
100,SLOVENIJA,2003,Indeks delovne migracije
100,SLOVENIJA,2003,Indeks delovne migracije za moške
100,SLOVENIJA,2003,Indeks delovne migracije za ženske
42.3429492139496,SLOVENIJA,2003,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
43.3132165850535,SLOVENIJA,2003,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
41.1646979548819,SLOVENIJA,2003,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj občine prebivališča"
57.2514438125755,SLOVENIJA,2003,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v občini prebivališča"
56.2,SLOVENIJA,2003,"Delovno aktivni moški [brez kmetov], ki delajo v občini prebivališča"
58.6,SLOVENIJA,2003,"Delovno aktivne ženske [brez kmetic], ki delajo v občini prebivališča"
100,SLOVENIJA,2004,Indeks delovne migracije
100,SLOVENIJA,2004,Indeks delovne migracije za moške
100,SLOVENIJA,2004,Indeks delovne migracije za ženske
43.4076919301635,SLOVENIJA,2004,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
44.4056305470332,SLOVENIJA,2004,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
42.1890598643671,SLOVENIJA,2004,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj občine prebivališča"
56.5923080698365,SLOVENIJA,2004,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v občini prebivališča"
54.9,SLOVENIJA,2004,"Delovno aktivni moški [brez kmetov], ki delajo v občini prebivališča"
57.5,SLOVENIJA,2004,"Delovno aktivne ženske [brez kmetic], ki delajo v občini prebivališča"
100,SLOVENIJA,2005,Indeks delovne migracije
100,SLOVENIJA,2005,Indeks delovne migracije za moške
100,SLOVENIJA,2005,Indeks delovne migracije za ženske
44.4538624099167,SLOVENIJA,2005,"Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
45.3206173053581,SLOVENIJA,2005,"Delovni migranti, moški [brez kmetov], ki delajo zunaj občine prebivališča"
