num,STATISTIČNA REGIJA,LETO,KAZALNIK
100,SLOVENIJA,2009,Indeks delovne migracije
100,SLOVENIJA,2009,Indeks delovne migracije za moške
100,SLOVENIJA,2009,Indeks delovne migracije za ženske
15.7,SLOVENIJA,2009,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
17.2,SLOVENIJA,2009,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
13.7,SLOVENIJA,2009,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
84.3,SLOVENIJA,2009,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82.8,SLOVENIJA,2009,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
86.3,SLOVENIJA,2009,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2010,Indeks delovne migracije
100,SLOVENIJA,2010,Indeks delovne migracije za moške
100,SLOVENIJA,2010,Indeks delovne migracije za ženske
16.2,SLOVENIJA,2010,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
17.6,SLOVENIJA,2010,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
14.4,SLOVENIJA,2010,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.8,SLOVENIJA,2010,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
82.4,SLOVENIJA,2010,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85.6,SLOVENIJA,2010,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2011,Indeks delovne migracije
100,SLOVENIJA,2011,Indeks delovne migracije za moške
100,SLOVENIJA,2011,Indeks delovne migracije za ženske
16.9,SLOVENIJA,2011,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.5,SLOVENIJA,2011,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
14.9,SLOVENIJA,2011,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.1,SLOVENIJA,2011,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.5,SLOVENIJA,2011,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85.1,SLOVENIJA,2011,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2012,Indeks delovne migracije
100,SLOVENIJA,2012,Indeks delovne migracije za moške
100,SLOVENIJA,2012,Indeks delovne migracije za ženske
16.9,SLOVENIJA,2012,"Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališča"
18.5,SLOVENIJA,2012,"Delovni migranti, moški [brez kmetov], ki delajo zunaj regije prebivališča"
15,SLOVENIJA,2012,"Delovni migranti, ženske [brez kmetic], ki delajo zunaj regije prebivališča"
83.1,SLOVENIJA,2012,"Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališča"
81.5,SLOVENIJA,2012,"Delovno aktivni moški [brez kmetov], ki delajo v regiji prebivališča"
85,SLOVENIJA,2012,"Delovno aktivne ženske [brez kmetic], ki delajo v regiji prebivališča"
100,SLOVENIJA,2013,Indeks delovne migracije
100,SLOVENIJA,2013,Indeks delovne migracije za moške
100,SLOVENIJA,2013,Indeks delovne migracije za ženske
